iter	Passed	Remaining
975	15477	16238
976	15496	16226
977	15509	16207
978	15524	16190
979	15539	16173
980	15554	16156
981	15568	16138
982	15586	16125
983	15600	16108
984	15614	16090
985	15628	16071
986	15643	16055
987	15661	16041
988	15674	16022
989	15689	16006
990	15709	15994
991	15722	15976
992	15736	15958
993	15752	15943
994	15771	15930
995	15787	15914
996	15806	15901
997	15821	15885
998	15836	15868
999	15854	15854
1000	15869	15837
1001	15880	15817
1002	15893	15798
1003	15916	15789
1004	15935	15777
1005	15951	15761
1006	15974	15752
1007	15988	15734
1008	16005	15720
1009	16028	15710
1010	16044	15695
1011	16063	15682
1012	16081	15668
1013	16094	15649
1014	16107	15631
1015	16121	15614
1016	16139	15599
1017	16155	15584
1018	16170	15567
1019	16182	15547
1020	16197	15531
1021	16217	15518
1022	16230	15500
1023	16248	15487
1024	16266	15473
1025	16283	15458
1026	16303	15446
1027	16321	15432
1028	16336	15415
1029	16353	15400
1030	16367	15383
1031	16383	15367
1032	16400	15353
1033	16414	15334
1034	16428	15317
1035	16445	15302
1036	16458	15284
1037	16476	15270
1038	16491	15253
1039	16505	15235
1040	16521	15220
1041	16538	15205
1042	16550	15185
1043	16567	15170
1044	16583	15155
1045	16600	15140
1046	16617	15125
1047	16630	15107
1048	16646	15091
1049	16663	15076
1050	16678	15059
1051	16695	15044
1052	16709	15027
1053	16723	15010
1054	16739	14993
1055	16752	14975
1056	16766	14958
1057	16784	14944
1058	16797	14925
1059	16810	14907
1060	16825	14890
1061	16837	14871
1062	16853	14856
1063	16869	14840
1064	16884	14823
1065	16899	14806
1066	16914	14790
1067	16927	14772
1068	16945	14758
1069	16962	14743
1070	16978	14727
1071	16993	14711
1072	17007	14693
1073	17022	14676
1074	17035	14658
1075	17047	14639
1076	17059	14620
1077	17074	14603
1078	17088	14585
1079	17100	14567
1080	17114	14549
1081	17129	14532
1082	17143	14516
1083	17159	14500
1084	17172	14481
1085	17187	14465
1086	17200	14447
1087	17215	14430
1088	17230	14414
1089	17246	14398
1090	17262	14383
1091	17276	14365
1092	17291	14349
1093	17306	14332
1094	17319	14314
1095	17333	14297
1096	17347	14279
1097	17359	14260
1098	17374	14244
1099	17388	14226
1100	17404	14211
1101	17419	14194
1102	17433	14177
1103	17446	14159
1104	17460	14142
1105	17474	14125
1106	17489	14108
1107	17502	14090
1108	17515	14072
1109	17531	14056
1110	17544	14039
1111	17559	14022
1112	17575	14006
1113	17590	13990
